手動入力	API 自動取得			URL自動計算	手動入力				
YouTubeリンク	動画タイトル	投稿日	サムネイルURL	再生位置	タイプ	曲名	原曲歌唱	作詞・作曲他	タグ（カンマ区切り）
https://www.youtube.com/watch?v=zou9Yygn49s&t=4721	【雑談】半年ありがとっぽぎってからい？【メリッサ・キンレンカ/にじさんじ】	2020-08-02T14:33:31Z	https://i.ytimg.com/vi/zou9Yygn49s/default.jpg		配信	ヒステリックナイトガール 	PSYQUI feat.Such		アカペラ,短め
https://www.youtube.com/watch?v=R5t5q_Ppj9A&t=1564	【雑談】夜とあけぼの【メリッサ・キンレンカ/にじさんじ】	2020-08-24T16:38:55Z	https://i.ytimg.com/vi/R5t5q_Ppj9A/default.jpg		配信	変わらないもの	奥華子	作詞・作曲：奥華子	アカペラ
https://www.youtube.com/watch?v=R5t5q_Ppj9A&t=1835	【雑談】夜とあけぼの【メリッサ・キンレンカ/にじさんじ】	2020-08-24T16:38:55Z	https://i.ytimg.com/vi/R5t5q_Ppj9A/default.jpg		配信	ガーネット	奥華子	作詞・作曲：奥華子	アカペラ
https://www.youtube.com/watch?v=R5t5q_Ppj9A&t=2480	【雑談】夜とあけぼの【メリッサ・キンレンカ/にじさんじ】	2020-08-24T16:38:55Z	https://i.ytimg.com/vi/R5t5q_Ppj9A/default.jpg		配信	夜に駆ける	YOASOBI	Music：Ayase、Vocal：ikura	アカペラ
https://www.youtube.com/watch?v=R5t5q_Ppj9A&t=3080	【雑談】夜とあけぼの【メリッサ・キンレンカ/にじさんじ】	2020-08-24T16:38:55Z	https://i.ytimg.com/vi/R5t5q_Ppj9A/default.jpg		配信	秒針を噛む	ずっと真夜中でいいのに。	Lyrics & Vocal：ACAね、Music：ACAね×ぬゆり、Arrangement：ぬゆり	アカペラ
https://www.youtube.com/watch?v=R5t5q_Ppj9A&t=3470	【雑談】夜とあけぼの【メリッサ・キンレンカ/にじさんじ】	2020-08-24T16:38:55Z	https://i.ytimg.com/vi/R5t5q_Ppj9A/default.jpg		配信	メリクリ	BoA	作詞：康珍化、作曲：原一博	アカペラ,短め
https://www.youtube.com/watch?v=R5t5q_Ppj9A&t=3491	【雑談】夜とあけぼの【メリッサ・キンレンカ/にじさんじ】	2020-08-24T16:38:55Z	https://i.ytimg.com/vi/R5t5q_Ppj9A/default.jpg		配信	僕に彼女ができたんだ	SHISHAMO	作詞：吉川美冴貴、作曲：宮崎朝子	アカペラ,短め
https://www.youtube.com/watch?v=R5t5q_Ppj9A&t=3782	【雑談】夜とあけぼの【メリッサ・キンレンカ/にじさんじ】	2020-08-24T16:38:55Z	https://i.ytimg.com/vi/R5t5q_Ppj9A/default.jpg		配信	HELLO ～Paradise Kiss～	YUI	作詞・作曲：YUI	アカペラ,短め
https://www.youtube.com/watch?v=R5t5q_Ppj9A&t=3889	【雑談】夜とあけぼの【メリッサ・キンレンカ/にじさんじ】	2020-08-24T16:38:55Z	https://i.ytimg.com/vi/R5t5q_Ppj9A/default.jpg		配信	Good-bye days	YUI	作詞・作曲：YUI	アカペラ
https://www.youtube.com/watch?v=R5t5q_Ppj9A&t=4207	【雑談】夜とあけぼの【メリッサ・キンレンカ/にじさんじ】	2020-08-24T16:38:55Z	https://i.ytimg.com/vi/R5t5q_Ppj9A/default.jpg		配信	大事なものは目蓋の裏	KOKIA	作詞・作曲：KOKIA、編曲：澤近泰輔	アカペラ,短め
